objective,activity_code,activity,unit_amount,quantity,frequency,total_amount,source
Objective 1 –	Train and Deploy 100 Community Health Extension Workers (CHEWs) / Nurses,1a,,1993200.0,1.0,1.0,1993200.0,Yobe State EasePal Care Proposal Budget
Objective 1 –	Train and Deploy 100 Community Health Extension Workers (CHEWs) / Nurses,1b,Training of 100 CHEWs / Nurses,7638000.0,1.0,1.0,7638000.0,Yobe State EasePal Care Proposal Budget
Objective 1 –	Train and Deploy 100 Community Health Extension Workers (CHEWs) / Nurses,1c,Security Assessment,1910000.0,1.0,1.0,1910000.0,Yobe State EasePal Care Proposal Budget
Objective 1 –	Train and Deploy 100 Community Health Extension Workers (CHEWs) / Nurses,1d,Baseline Assessment of 3 LGAs,7620000.0,1.0,1.0,7620000.0,Yobe State EasePal Care Proposal Budget
Objective 2 - Deliver Community-Based Palliative and Primary Care Services:,2a,Beneficiary  and Caregiver Selection Workshop,2786400.0,1.0,1.0,2786400.0,Yobe State EasePal Care Proposal Budget
Objective 2 - Deliver Community-Based Palliative and Primary Care Services:,2b,Caregiver Monthly Salary and Benefits,108789.75,100.0,12.0,130547700.0,Yobe State EasePal Care Proposal Budget
Objective 2 - Deliver Community-Based Palliative and Primary Care Services:,2c,Caregiver Logistics,10000.0,100.0,12.0,12000000.0,Yobe State EasePal Care Proposal Budget
Objective 2 - Deliver Community-Based Palliative and Primary Care Services:,2d,Develop digital platform for the entire service delivery value chain,11900000.0,1.0,1.0,11900000.0,Yobe State EasePal Care Proposal Budget
Objective 2 - Deliver Community-Based Palliative and Primary Care Services:,2f,Commemorate Global Event Days - World Cancer Day,2270000.0,1.0,1.0,2270000.0,Yobe State EasePal Care Proposal Budget
Objective 3 – Advocacy engagement and provision of technical support,3a,HMO Registration for Beneficiaries,195625.0,600.0,1.0,117375000.0,Yobe State EasePal Care Proposal Budget
Objective 3 – Advocacy engagement and provision of technical support,3b,Hospital Retainership / Ambulance Service,1000000.0,3.0,1.0,3000000.0,Yobe State EasePal Care Proposal Budget
Objective 3 – Advocacy engagement and provision of technical support,3c,Joint Sector Coordination Meeting,564000.0,1.0,4.0,2256000.0,Yobe State EasePal Care Proposal Budget
Objective 3 – Advocacy engagement and provision of technical support,3d,Commemorate World Food Day,2270000.0,1.0,1.0,2270000.0,Yobe State EasePal Care Proposal Budget
Objective 4 - Strengthen Health Governance and Public Awareness:,4a,Institutional engagement with LGAs and Health Regulators,640000.0,1.0,4.0,2560000.0,Yobe State EasePal Care Proposal Budget
Objective 4 - Strengthen Health Governance and Public Awareness:,4b,Radio and TV Awareness Campaign,4620000.0,1.0,1.0,4620000.0,Yobe State EasePal Care Proposal Budget
Objective 4 - Strengthen Health Governance and Public Awareness:,4c,Commemorate World Malaria Day,2270000.0,1.0,1.0,2270000.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,5a,Monitoring and Evaluation,840000.0,1.0,12.0,10080000.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,5b,Case study documentation,840000.0,1.0,2.0,1680000.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,5c,Project Closeout,1422000.0,3.0,1.0,4266000.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,,Laptop with accessories,2000000.0,1.0,1.0,2000000.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,,Office Furniture,720000.0,1.0,1.0,720000.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,6a,State Coordinator,389089.75,1.0,12.0,4669077.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,6b,Project/Sponsors/Grant Assistant,333589.75,1.0,12.0,4003077.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,6c,Finance and Admin Assistant,333589.75,1.0,12.0,4003077.0,Yobe State EasePal Care Proposal Budget
Communications and M&E,6d,EasePal Care Management Fees / Indirect Cost,0.0,0.0,0.0,81560000.0,Yobe State EasePal Care Proposal Budget
